iter	RMSE
884	181281.9742
885	181263.2765
886	181110.432
887	180994.0011
888	180912.2369
889	180872.8749
890	180772.2547
891	180657.3448
892	180577.2169
893	180502.4285
894	180402.9384
895	180287.5727
896	180239.3888
897	180218.3363
898	180112.723
899	180019.6016
900	179914.5508
901	179841.3877
902	179758.8084
903	179659.9086
904	179563.7082
905	179560.5704
906	179515.2325
907	179440.0718
908	179371.9955
909	179250.7557
910	179248.8444
911	179157.5172
912	179060.4479
913	179003.8605
914	178995.2143
915	178896.6416
916	178871.9383
917	178738.6504
918	178668.9698
919	178561.6616
920	178494.5714
921	178435.9655
922	178306.6026
923	178199.3475
924	178166.5873
925	178032.6666
926	177983.8619
927	177936.5547
928	177895.5399
929	177822.3583
930	177805.7849
931	177680.7087
932	177562.7594
933	177554.6075
934	177462.3264
935	177409.2743
936	177351.8399
937	177271.3554
938	177155.4246
939	177077.7586
940	176987.5182
941	176895.461
942	176803.0975
943	176699.8897
944	176647.2374
945	176526.0145
946	176447.0499
947	176385.2567
948	176327.7435
949	176288.9404
950	176222.5792
951	176135.7741
952	176108.3279
953	176025.9701
954	175975.2229
955	175937.5735
956	175856.334
957	175812.3987
958	175765.9061
959	175664.0463
960	175618.7059
961	175576.0095
962	175477.2234
963	175369.7893
964	175266.8068
965	175200.1191
966	175134.2106
967	175039.6272
968	175036.8668
969	174987.7474
970	174892.4139
971	174783.3025
972	174717.8015
973	174688.1611
974	174685.4958
975	174606.7406
976	174538.377
977	174485.74
978	174413.3988
979	174325.635
980	174323.1751
981	174210.152
982	174119.8702
983	174058.3074
984	174009.0695
985	173907.9081
986	173809.5386
987	173800.8417
988	173691.3862
989	173596.0071
990	173577.2515
991	173535.2519
992	173498.2994
993	173495.7324
994	173419.7325
995	173330.3232
996	173258.2621
997	173215.8386
998	173145.9745
999	173074.4533
